"","REPORTED_DATE","TOTAL","TRAVEL","CLOSE_CONTACT","COMMUNITY"
"440",2022-03-21,178,0,0,178
"441",2022-03-22,444,0,0,444
"442",2022-03-23,396,0,0,396
"443",2022-03-24,476,0,0,476
"444",2022-03-25,412,0,0,412
"445",2022-03-26,418,0,0,418
"446",2022-03-27,292,1,0,291
"447",2022-03-28,308,0,0,308
"448",2022-03-29,545,0,0,545
"449",2022-03-30,295,0,0,295
"450",2022-03-31,382,0,0,382
"451",2022-04-01,305,0,0,305
"452",2022-04-02,200,0,0,200
"453",2022-04-03,183,0,0,183
"454",2022-04-04,217,0,0,217
"455",2022-04-05,317,0,0,317
"456",2022-04-06,235,0,0,235
"457",2022-04-07,370,0,0,370
"458",2022-04-08,151,0,0,151
"459",2022-04-09,215,0,1,214
"460",2022-04-10,165,0,0,165
"461",2022-04-11,123,0,0,123
"462",2022-04-12,273,0,0,273
"463",2022-04-13,171,0,0,171
"464",2022-04-14,184,0,0,184
"465",2022-04-15,157,0,0,157
"466",2022-04-16,96,0,0,96
"467",2022-04-17,75,0,0,75
"468",2022-04-18,126,0,0,126
"469",2022-04-19,213,0,0,213
"470",2022-04-20,109,0,0,109
"471",2022-04-21,144,0,0,144
"472",2022-04-22,152,0,0,152
"473",2022-04-23,65,0,0,65
"474",2022-04-24,68,0,0,68
"475",2022-04-25,91,0,0,91
"476",2022-04-26,117,0,0,117
"477",2022-04-27,90,0,0,90
"478",2022-04-28,88,0,0,88
"479",2022-04-29,89,0,0,89
"480",2022-04-30,54,0,0,54
"481",2022-05-01,38,0,0,38
"482",2022-05-02,66,0,0,66
"483",2022-05-03,79,0,0,79
"484",2022-05-04,77,0,0,77
"485",2022-05-05,35,0,0,35
"486",2022-05-06,49,0,0,49
"487",2022-05-07,26,0,0,26
"488",2022-05-08,18,0,0,18
"489",2022-05-09,30,0,0,30
"490",2022-05-10,30,0,0,30
"491",2022-05-11,28,0,0,28
"492",2022-05-12,46,0,0,46
"493",2022-05-13,32,0,0,32
"494",2022-05-14,26,0,0,26
"495",2022-05-15,10,0,0,10
"496",2022-05-16,32,0,0,32
"497",2022-05-17,33,0,0,33
"498",2022-05-18,30,0,0,30
"499",2022-05-19,36,0,0,36
"500",2022-05-20,16,0,0,16
"501",2022-05-21,31,0,0,31
"502",2022-05-22,33,0,0,33
"503",2022-05-23,41,0,0,41
"504",2022-05-24,19,0,0,19
"505",2022-05-25,45,0,0,45
"506",2022-05-26,22,0,0,22
"507",2022-05-27,31,0,0,31
"508",2022-05-28,21,0,0,21
"509",2022-05-29,33,0,0,33
"510",2022-05-30,20,0,0,20
"511",2022-05-31,29,0,0,29
"512",2022-06-01,19,0,0,19
"513",2022-06-02,3,0,0,3
